id,conversation_type,prompt,answer,source,word_count
riddle_070,riddle,"A guy sold a pen to a customer. The seller said that it could write ""underwater"". But then the guy came back and complained that it couldnt. Yet the seller was able to write ""underwater"" How did he?",he wrote the word underwater,riddle_sense,38
riddle_071,riddle,"Part carbon, part water, I am poison to the fishes. Many have falsely claimed my name, for I am the pause that refreshes. What am I?",soda pop,riddle_sense,26
riddle_072,riddle,"A very pretty thing am I, fluttering in the pale-blue sky. Delicate, fragile on the wing, indeed I am a pretty thing. What am I?",butterfly,riddle_sense,25
riddle_073,riddle,Dr. Frank and Mr. Dunce played 7 games of chess. Each won the same amount of games. There were no ties or draws. How can this be?,they did not play eachother,riddle_sense,27
riddle_074,riddle,An archaeologist digs up two perfectly preserved bodies. He immediately identifies them as Adam and Eve. How can he tell they are Adam and Eve?,they had no belly buttons,riddle_sense,25
riddle_075,riddle,"There is a pink single-story house and everything in it is pink. The doors are pink,the windows are pink,and the TV is pink. What Color is the stairs?",there are no stairs,riddle_sense,28
riddle_076,riddle,"A woman is sitting in her room at night. She has no lights on, no candle, no lamp, no light at all and yet she is reading. How is that possible?",she is reading braille,riddle_sense,31
riddle_077,riddle,"A man rode out of town on sunday, he stayed a whole night at a hotel and rode back to town the next day on sunday, how is this possible??",his horse was called sunday,riddle_sense,30
riddle_078,riddle,"I am black when you buy me, I am red when you use me, then am grey when you through me away What am I?",coals,riddle_sense,25
riddle_079,riddle,A burning fire in one's heart yet in ONE lion will never start Across the nations influences people yet can not be seen through a peep hole,courage,riddle_sense,27
riddle_080,riddle,"A dusty old cowboy rode into town on Tuesday. He stayed at the Inn for three days and three nights, then rode out again on Tuesday. How is this possible?",horses name is tuesday,riddle_sense,30
riddle_081,riddle,"I help to mature your spirits when moistened i fulfill my purpose should i dry out, my task will fail and my quarry may be worthless",cork,riddle_sense,26
riddle_082,riddle,"I exist, but have no material form. I am made of numbers, but appear square. I build upon other of my own, but do not topple down. I sit still and do nothing, but I'm still useful. What am I?",minecraft blocks,riddle_sense,40
riddle_083,riddle,I have four legs in the morning I have two legs in the mid-day I have and three legs in the evening What am I?,human being,riddle_sense,25
riddle_084,riddle,"The title of this book has been put into very fancy language. Can you name the book? ?The objects, or people, have been removed from their previous localities through the power of a naturally moving phenomenon. ?",gone with the wind,riddle_sense,37
riddle_085,riddle,I always point in the right direction. My instructions are written in black and white. Disobey me and pay the consequences. I will never say more than two words at a time. What am I?,one way sign,riddle_sense,35
riddle_086,riddle,one fine day in the middle of the night two dead men got up to fight they turned around to face each other they drew their swords and shot each other whats wrong with this poem ?,you decide whats wrong,riddle_sense,37
riddle_087,riddle,I'm as plain to see as black & white. I prefer to roam about at night. Just don't attack or startle me. Or odiferous emissions may result you see. I'm an omnivore yes it's true. But what's my name tell me do.,skunk,riddle_sense,42
riddle_088,riddle,"Derrek's mother had some money, a quarter, a nickle and a penny. She had three kids, quarterless, nicholas, and what was the last one's name?",derrek,riddle_sense,25
riddle_089,riddle,WHAT MEN GO TO THE FIRST THING IN THE MORNING AND LAST THING AT NIGHT NO MAN NORE WOMAN WILL STOP HIM FROM IT . WHAT YOU ARE DOING WHILE READING THIS,toilet   2 sitting,riddle_sense,32
riddle_090,riddle,"I am the beginng of dogfights, yet loyal to all men. A scratch on my locator from my feline friend is enough to make me chase my own end. What am I?",dog,riddle_sense,32
riddle_091,riddle,David's mom had four kids. The first one was a boy named Jimmy. The second one was a girl named Sammy. The third was a boy named Chris. The fourth one was a boy. What was his name?,david,riddle_sense,38
riddle_092,riddle,"Fred and Jane are dead on the floor. With them on the floor is shattered glass, a baseball, and water, there is an OPEN window on the wall. What happened?",fred and jane are fish,riddle_sense,30
riddle_093,riddle,"When confused look to me. I have no answers, but i look back on every question. What you need, i have no clue. My broken space will never be filled.",question mark,riddle_sense,30
riddle_094,riddle,"A mute man walks into a store, he wants to buy a toothbrush. He imitates brushing his teeth and successfully makes his purchase. Next a blind man comes into the same shop, he wants to buy a comb. How does he indicate what he wants?",he simply asks for it,riddle_sense,45
riddle_095,riddle,He has one and a person has two a citizen has three and a human being has four a personality has five and an inhabitant of earth has six,syllable,riddle_sense,29
riddle_096,riddle,"Right on the target, or hopelessly wrong, Offering me up where I may not belong, Given the options or a terrible clue, When you don't know the answer, what do you do?",you guess,riddle_sense,32
riddle_097,riddle,"There were two mothers and two daughters,and they all went fishing. All of them caught a fish but when they counted there were only three fish.",i dont knoyoutell me,riddle_sense,26
riddle_098,riddle,I have an amusement park in my back yard. I wear white gloves. I love children. . . alot. I am black with a white face. Who am I?,michael jackson,riddle_sense,29
riddle_099,riddle,"I can sizzle like bacon, I am made with an egg, I have plenty of backbone, but lack a good leg, I peel layers like onions, but still remain whole, I can be long, like a flagpole, yet fit in a hole, What am I?",im a snake,riddle_sense,45
riddle_100,riddle,THERES A KID WHO RUNS AWAY FROM HOME HE RUNS TURENS LEFT RUNS TURNS LEFT RUNS TUERNS LEFT WHEN HE GETS BACK HOME THERE ARE TWO GUEYS IN MASKS WHO ARE THEY?,catcher and umpierr in baseball,riddle_sense,32
emotional_001,emotional,I had my first conversation with my two year old the other day. He asked where the cat was and wanted to follow him outside.,sentimental,empathetic_dialogues,25
emotional_002,emotional,I got a ticket today for not coming to a complete stop at a stop sign. So I stopped but they didn't think it was long enough. Ridiculous.,annoyed,empathetic_dialogues,28
emotional_003,emotional,"Part of my job is to clean up the bathrooms at the end of the night. Usually it's not so bad, but last night someone stuck so much toilet paper inside of the toilet that it overflowed EVERYWHERE.",disgusted,empathetic_dialogues,38
emotional_004,emotional,"i try not to drink to much on the weekends with my friends ,but when i do i start doing dumb stuff and wake up in the morning apologizing to everyone",embarrassed,empathetic_dialogues,31
emotional_005,emotional,"It was really annoying when I was thinking I would room with my brother back in freshman year of college, but it didn't work out as planned.",hopeful,empathetic_dialogues,27
emotional_006,emotional,I am getting older and to still see that people can be so untrustworthy and that they will be such betrayers and so hateful over nothing is hard to see,sad,empathetic_dialogues,30
emotional_007,emotional,"My child said his first word the other day! It wasn't mama or da-da, but at least he's making progress! His first word was ""one."" Not the most meaningful or memorable, but I'm just proud of him anyway.",joyful,empathetic_dialogues,38
emotional_008,emotional,My dog loves to hide whenever she has to poop or pee. So I always find hidden treasures around my apartment and boy is it gross!,disgusted,empathetic_dialogues,26
emotional_009,emotional,I made a big pot of Vegetable soup. After eating a big bowl I was completely satisfied and just wanted to nap in my chair.,content,empathetic_dialogues,25
emotional_010,emotional,I just took delivery of a Tesla S! I have put a lot of faith into the auto pilot function! I hope it never fails me!,trusting,empathetic_dialogues,26
emotional_011,emotional,I'm saving up for a new vehicle so I've been driving around an old ugly green truck in the mean time. It's a bit embarrassing being seen in it.,ashamed,empathetic_dialogues,29
emotional_012,emotional,"I was recently on a mule ride in the Grand Canyon of Arizona! I really had to put a lot of faith in the mule though, because there were a bunch of sheer drops on the trail!",trusting,empathetic_dialogues,37
emotional_013,emotional,I went to a Cirqe d' Sole show recently and was quite amazed by the different acts! I couldn't smiling while watching! Their skills were unbelievable!,impressed,empathetic_dialogues,26
emotional_014,emotional,I have a huge presentation at work this week. I have never done this before and I am not sure if I am prepared yet.,anxious,empathetic_dialogues,25
emotional_015,emotional,I like my new manager. He is so kind and a good listener. I feel that I can trust him with any issue that I have.,trusting,empathetic_dialogues,26
emotional_016,emotional,"I wasn't able to go to California for a family reunion and a friend of mine paid for tickets for my husband and me! I haven't seen my family in years and she made my year, my century!",joyful,empathetic_dialogues,38
emotional_017,emotional,The other night my grandma wanted to video chat to say hi to her great grand kids. My four year old was showing off his counting skills and some other cute stuff he had learned. It made my grandma really happy.,proud,empathetic_dialogues,41
emotional_018,emotional,"I recently moved from Alabam aall the way to Indiana. I like it a lot better, but I hate having to leave my family behind. I miss them.",sad,empathetic_dialogues,28
emotional_019,emotional,Yesterday we went hiking to the mountain and I didn't tell a friend we were going even when I knew she likes to come with us.,guilty,empathetic_dialogues,26
emotional_020,emotional,I was at an outdoor dinner party last week. I got drunk and fell into the pool in front of everyone. I felt so dumb.,embarrassed,empathetic_dialogues,25
emotional_021,emotional,"When I was a young girl, and mother of a two year old, my own mom passed away. This was a very sad time for me as I'm an only child and my father wasn't around either.",lonely,empathetic_dialogues,37
emotional_022,emotional,I watched a competition show on television in which people were competing to be on Broadway. They were amazing! They could sing and dance so beautifully!,impressed,empathetic_dialogues,26
emotional_023,emotional,"I was able to get an interview for a great job, by the time I was going into it I felt that I knew everything they would require and I was not worried at all.",confident,empathetic_dialogues,35
emotional_024,emotional,I felt so ashamed the time that I took money from my parents. I couldn't look them in the eyes for weeks when I was younger.,ashamed,empathetic_dialogues,26
emotional_025,emotional,My friend moved for a new job recently and she just took her two dogs to a shelter. She didn't even try to find them homes.,disappointed,empathetic_dialogues,26
emotional_026,emotional,"I was at the dealership where I bought my car a week ago and I was getting an oil change. The service was so good, and they took care of my car really quick!",impressed,empathetic_dialogues,34
emotional_027,emotional,I was just thinking of my grandmother who passed away 10 years ago. She left me her bible as a reminder. I like reading from it sometimes.,sentimental,empathetic_dialogues,27
emotional_028,emotional,I dropped off my car at the mechanic and he said it would cost $300. I picked it up today and the bill was $3000 and he never asked if I wanted to go that high.,furious,empathetic_dialogues,36
emotional_029,emotional,I had to take a final exam for a class last semester. I studied really hard for it and went in sure that I was going to do great on it. I ended up getting the highest score in my class!,confident,empathetic_dialogues,41
emotional_030,emotional,I wanted to get together with friends tongiht after work. But apparently everyone I know is out of town. So I'll be all alone tonight. I don't know what to do!,lonely,empathetic_dialogues,31
emotional_031,emotional,I am saving money to be able to buy a new car. My current car is having too many car failures. I think one day it will stop working.,anticipating,empathetic_dialogues,29
emotional_032,emotional,"I was walking home from my friend's house, and it was pretty late. Really dark. I manage to walk all the way to the front of my apartment, but then I see a figure in my peripheral vision, behind me.",afraid,empathetic_dialogues,40
emotional_033,emotional,I live the life of my dreams. As a result I've got a lot of haters so I'm always ready to knock out a jealous little punk who tries crossing me at all times,prepared,empathetic_dialogues,34
emotional_034,emotional,I'm an aspiring actor and I have yet to land any large roles. I feel like I've been doing well and I've been at this for at least two years now.,disappointed,empathetic_dialogues,31
emotional_035,emotional,I was in a work meeting the other day and one of my coworkers was was able to recite from memory a whole lot of legal policy and verbiage. I was floored by how much he had retained from studying!,impressed,empathetic_dialogues,40
emotional_036,emotional,A worker was supposed to come to the house to fix my air conditioning. I changed my plans for him and just sat there. Then he never showed up and didn't even bother to call.,furious,empathetic_dialogues,35
emotional_037,emotional,"I always think I want some ""me"" time, but this weekend my husband and our toddler son were both gone and I actually kind of felt bored and sad!",lonely,empathetic_dialogues,29
emotional_038,emotional,"Even though I'm no longer Catholic I still put my faith in a Supreme, Higher Power because with all the dumb choices I've made in life it's a miracle I'm still here.",trusting,empathetic_dialogues,32
emotional_039,emotional,"When he was little, my nephew was so adorable. He was the first child in the family for a long time, and he was so cute. I loved to spend time with him.",caring,empathetic_dialogues,33
emotional_040,emotional,I did not expect France to win the World Cup. It's been a while but I still can't believe it considering a lot better teams made it to the semi play offs.,surprised,empathetic_dialogues,32
emotional_041,emotional,I quit my job without having another one lined up. I'm hopeful and optimistic that I will be okay and that this was the right choice.,trusting,empathetic_dialogues,26
emotional_042,emotional,My best friend got the prettiest girl in the class. I wish I had his game. I am better looking but he gets the girl every time.,jealous,empathetic_dialogues,27
emotional_043,emotional,"Girlfriend forgot her lunch, about to go bring it to her. It's going to seem like I'm doing something really nice, but I wasn't doing anything important anyway. Would rather her not have to inconvenience herself since she's at work",caring,empathetic_dialogues,40
emotional_044,emotional,"I couldn't sleep last night at all, I kept hearing some weird bumping sounds that made me think someone was walking up and down my stairs but I live alone.",afraid,empathetic_dialogues,30
emotional_045,emotional,Really don't want to start my new job in a week. It's at a fast food place and I don't know if I'll be able to keep up with demand,anxious,empathetic_dialogues,30
emotional_046,emotional,I rode a taxi one day and ended up not having enough to pay the fare. The driver was nice enough to offer to cover my fare.,grateful,empathetic_dialogues,27
emotional_047,emotional,Can you believe that my friend who joined the firm I work for got a promotion that I was competing for. She get's a very big bonus and a company car.,jealous,empathetic_dialogues,31
emotional_048,emotional,My friend just told me they're going to tour Asia and I was so seethingly jealous I became really awkward. I just started talking super-formally and I didn't know what to really say.,jealous,empathetic_dialogues,33
emotional_049,emotional,I took a bus trip to Philadelphia today. The bus was totally gross. There was sticky stuff on the floors and there was a horrible smell too.,disgusted,empathetic_dialogues,27
emotional_050,emotional,"I have an outside cat that I let come in every so often just to enjoy her company while relaxing. Usually it's not an issue, but tonight she pooped on my floor! I",disgusted,empathetic_dialogues,33
emotional_051,emotional,I feel like vomiting when I walk into a public restroom and it smells like manure. Some people haven't had a gram of fiber in their life,disgusted,empathetic_dialogues,27
emotional_052,emotional,"When I go to the mall to buy clothes, I always feel so envious of others who are buying expensive items. I wish I could afford those things!",jealous,empathetic_dialogues,28
emotional_053,emotional,I was really waiting for my physics grade to come out and I was happy when I saw I did well in the class somehow.,joyful,empathetic_dialogues,25
emotional_054,emotional,I heard a hissing noise outside my door and I swear to god it was a snake. It turned out to my brother playing a prank on me.,terrified,empathetic_dialogues,28
emotional_055,emotional,My little sister caught off a chunk of my hair when I was sleeping last night. She did it because I came up with a fun but mean nickname for her the day before. But that was way over the line!,furious,empathetic_dialogues,41
emotional_056,emotional,Have you heard about Double Dare coming back to tv? I watched it the other night and it took me right back to my childhood!,nostalgic,empathetic_dialogues,25
emotional_057,emotional,"Went to a fast food place, and they messed up my order. I even repeated it twice, and had them double-check with me again after that! I know they're under a lot of pressure and work hard, but why is order accuracy so hard...",angry,empathetic_dialogues,44
emotional_058,emotional,"I consider myself a loyal Apple customer and seeing its recent break in $1 Trillion in stock market cap, just makes me feel great and proud of feeling attached to this company",proud,empathetic_dialogues,32
emotional_059,emotional,I been waiting a while for the official release date for a new video game. There's been a lot of rumors but nothing set in stone.,anticipating,empathetic_dialogues,26
emotional_060,emotional,I was talking to my boss and used a word that I didn't know the real meaning of. made a total fool of myself. lol,embarrassed,empathetic_dialogues,25
emotional_061,emotional,"I just went for my yearly physical and thought everything was good, but I got a call that the doctor wanted to talk to me about some blood work. Its awful because they aren't open until tomorrow so they haven't gotten back to me yet.",apprehensive,empathetic_dialogues,45
emotional_062,emotional,"I got a speeding ticket today and did not realize I was speeding. The look on the policeman's face though, was as if I robbed a bank !",guilty,empathetic_dialogues,28
emotional_063,emotional,I got a email from a distant relative recently that said they needed surgery but couldn't afford the bill. I was so worried they would die.,anxious,empathetic_dialogues,26
emotional_064,emotional,"At the school honor roll program my niece was given a special recognition award for being such a good helper to her teacher. I thought my heart would burst, I was really feeling it.",proud,empathetic_dialogues,34
emotional_065,emotional,"The friend I know received the highest score on physics final exam. To be honest, i was quite jealous and wanted to be in his place",jealous,empathetic_dialogues,26
emotional_066,emotional,"I just had my air conditioning system cleaned out because it wasn't working right. Wow, the junk that came out of it was awful. The owner before me never used filters.",disgusted,empathetic_dialogues,31
emotional_067,emotional,I think I got everything I need for my job interview tomorrow. I got my fancy clothes and answers prepared for common questions they usually throw at u.,prepared,empathetic_dialogues,28
emotional_068,emotional,I worked for a company for 5 years and I found a new job that paid better. I worked out the last of my shifts but I felt bad for leaving a company that was so good to me.,guilty,empathetic_dialogues,39
emotional_069,emotional,Man sometimes I find myself at work just being frustrated over the fact that I know there is work available but I can't grasp it because pople aren't playing fair. you ever had that issues?,annoyed,empathetic_dialogues,35
emotional_070,emotional,I'm pretty stoked because I'm putting together this business idea in my head. If done right with my friend we could rake in a ton of cash,excited,empathetic_dialogues,27
emotional_071,emotional,i gave him $34 to get me the Angel Soft toiletpaper 2 huge packs and he used the money to change his oil in the car,angry,empathetic_dialogues,26
emotional_072,emotional,"My sister is so lucky adn sso good at design, she has the prettiest nursery set up for her daughter! My kids were lucky to have a matching crib bed set lol",jealous,empathetic_dialogues,32
emotional_073,emotional,I let my wife deal with all the finances. I rely on her to do the right thing with it. I am cool with that.,trusting,empathetic_dialogues,25
emotional_074,emotional,Recent debt accumulation had my credit score see a significant decline. I am afraid it would hurt my chances of applying for a new credit card,afraid,empathetic_dialogues,26
emotional_075,emotional,My boss just informed me that I will be getting a bunch of unfinished work from a coworker that was promoted. I am so mad that I have to do my stuff and someone elses incomplete work!,furious,empathetic_dialogues,37
emotional_076,emotional,"With all the climate change happening in the word, I don't know what's going to happen where I live, specially since i live near the coast",afraid,empathetic_dialogues,26
emotional_077,emotional,A friend that I had during college came to visit me last week. I was not expecting him to contact me. It has been at least ten years that we didn't see each other.,surprised,empathetic_dialogues,34
emotional_078,emotional,"The part of the project that we had been working on and that was very crucial, i completed it successfully, all on my own. I hope my manager would notice and promote me",anticipating,empathetic_dialogues,33
emotional_079,emotional,I was so happy when I was finally able to buy a motorcycle last week that I've been saving money for. But yesterday I wasn't being careful and I crashed it into my neighbors car and completely destroyed both.,devastated,empathetic_dialogues,39
emotional_080,emotional,"I'm at a good weight and I'm fairly healthy, but I'm visiting my girlfriend right now and I always over-eat and eat desserts that I shouldn't when I'm around her. Makes me feel like an overweight slob",guilty,empathetic_dialogues,37
emotional_081,emotional,I recently had to go to my old High School. And as soon as I walked in I started thinking back to my teen years.,sentimental,empathetic_dialogues,25
emotional_082,emotional,When my spouse walked out on me and my kids I was so glad to have my friends. They brought me food and babysat for me.,caring,empathetic_dialogues,26
emotional_083,emotional,"I am mortified. I was going to the bank and tried to open the door. I kept pulling and pulling until I realized I was supposed to push. Unfortunately, a bunch of people saw me.",embarrassed,empathetic_dialogues,35
emotional_084,emotional,My family disowned me a few years ago. I heard that they were going on the annual family lake trip next week. Thinking about it made me really sad as I remembered all of my childhood memories on this trip.,nostalgic,empathetic_dialogues,40
emotional_085,emotional,"Spent a lot of my saturday organizing and cleaning my room. There's no better feeling that knowing you accomplished an errand you were supposed to do, and getting to enjoy clean space after your hard work.",proud,empathetic_dialogues,36
emotional_086,emotional,Have you ever been in a situation where you had food on your face and you walked around for awhile without anyone telling you? This just happened to me yesterday and I was so embarrassed!,embarrassed,empathetic_dialogues,35
emotional_087,emotional,"This is just a very good day for me. I never thought my brother will pay me back what he owed me, but he did when i needed the money most",excited,empathetic_dialogues,31
emotional_088,emotional,A coworker just knocked all the documents on my desk to the floor. It was an accident but they didnt even bother to help pick them up. Very rude I thought.,angry,empathetic_dialogues,31
emotional_089,emotional,Watched an old TV show that I used to watch with my ex-girlfriend. Made me yearn for those past times. But trying not to get too down in the dumps about it.,nostalgic,empathetic_dialogues,32
emotional_090,emotional,I was pulled over for speeding the other day. The cop actually was really cool and just gave me a warning. I was very relieved.,grateful,empathetic_dialogues,25
emotional_091,emotional,"I'm in a really awkward position. My best friend is cheating on his girlfriend, and my own girlfriend is telling me I need to speak up and reveal his secret. No idea what to do, and I'm disappointed in my friend, too.",devastated,empathetic_dialogues,42
emotional_092,emotional,I got yelled at by my boss last week for being late even though it was because my tire blew out on my way to work.,disappointed,empathetic_dialogues,26
emotional_093,emotional,"One of my favorite movies of all tyme is pans labyrinth by guillermo del toro , but the ending is a bit depressing even for me",sad,empathetic_dialogues,26
emotional_094,emotional,every week i have a laundry list of things i need to get when i get paid. then pay day comes and it's gone in a second.,disappointed,empathetic_dialogues,27
emotional_095,emotional,My wife's out of town right now on business. She has to go on these trips a few times a year. I miss her a lot.,caring,empathetic_dialogues,26
emotional_096,emotional,So my dog is super spoiled. I think she'd let us feed her with a spoon if we would comply. But the other day she did something I was shocked by.,impressed,empathetic_dialogues,31
emotional_097,emotional,"I blew my budget a little this year and had some financial emergencies so I won't be able to go on a vacation this summer afterall, it's no fun.",disappointed,empathetic_dialogues,29
emotional_098,emotional,My dad just walked in with a piece of cheesecake only for himself! Cheesecake is my favorite dessert! I really wish I could have gone to Cheesecake Factory with him.,jealous,empathetic_dialogues,30
emotional_099,emotional,I moved away from my home town last year for a new job. I sort of regret it since I don't have many people to talk to.,lonely,empathetic_dialogues,27
emotional_100,emotional,A storm came through earlier and scared my dog. He ran to me and I was quite shocked! He can be a 100 pound baby sometimes!,surprised,empathetic_dialogues,26
